Message,Category,Priority
guho na yung bodega ng bigas may tao,BuildingCollapse,Critical
tulong po bumagsak yung kisame ng simbahan,BuildingCollapse,Critical
collapsed structure sa may lampinigan st,BuildingCollapse,Critical
naipit sa gumuhong beams,BuildingCollapse,Critical
bumagsak yung pader ng garage sa kotse may tao,BuildingCollapse,Critical
guho na yung laundry shop,BuildingCollapse,Critical
tulong na trap sa gumuhong kusina,BuildingCollapse,Critical
collapsed perimeter wall sa school,BuildingCollapse,Critical
bumigay yung 2nd floor ng apartment,BuildingCollapse,Critical
natabunan ng gumuhong hollow blocks,BuildingCollapse,Critical
guho na yung bakery sa kanto,BuildingCollapse,Critical
tulong po naipit sa gumuhong hagdan,BuildingCollapse,Critical
collapsed facade ng mall,BuildingCollapse,Critical
bumagsak yung glass wall sa mga tao,BuildingCollapse,Critical
guho na yung opisina sa 3rd floor,BuildingCollapse,Critical
tulong na trap sa gumuhong kwarto,BuildingCollapse,Critical
collapsed roof sa market,BuildingCollapse,Critical
bumigay yung column ng building,BuildingCollapse,Critical
natabunan ng gumuhong semento,BuildingCollapse,Critical
guho na yung extension sa likod,BuildingCollapse,Critical
tulong po naipit sa gumuhong bubong,BuildingCollapse,Critical
collapsed wall sa factory,BuildingCollapse,Critical
bumagsak yung steel truss,BuildingCollapse,Critical
guho na yung storage area,BuildingCollapse,Critical
tulong na trap sa gumuhong basement,BuildingCollapse,Critical
collapsed floor sa gym,BuildingCollapse,Critical
bumigay yung suporta ng tangke,BuildingCollapse,Critical
natabunan ng gumuhong pader,BuildingCollapse,Critical
guho na yung lumang bahay,BuildingCollapse,Critical
tulong po naipit sa gumuhong shelf,BuildingCollapse,Critical
collapsed ceiling sa lobby,BuildingCollapse,Critical
Tagilid na yung building sa kanto konting uga na lang bibigay na,BuildingCollapse,High
may malaking crack sa pader ng school delikado,BuildingCollapse,High
bumigay na yung kalahati ng bubong namin pero nakalabas kami,BuildingCollapse,High
UNSAFE STRUCTURE SA MALANDAY NAKATAGILID NA BAHAY,BuildingCollapse,High
falling debris galing sa 5th floor wag kayo dumaan,BuildingCollapse,High
halos humiwalay na yung pader sa poste,BuildingCollapse,High
nakakatakot yung building sa bayan parang tutumba,BuildingCollapse,High
major cracks sa flooring ng hospital hallway,BuildingCollapse,High
bumagsak yung canopy ng tindahan buti walang tao,BuildingCollapse,High
kumalas na yung hagdan sa 2nd floor wag aakyat,BuildingCollapse,High
delikado yung firewall ng kapitbahay gumegewang,BuildingCollapse,High
may nahuhulog na bato galing sa crumbling facade,BuildingCollapse,High
lumundo na yung kisame sa sala baka bumagsak maya maya,BuildingCollapse,High
bitak bitak na yung kalsada sa provident may sinkhole,BuildingCollapse,High
warning may falling glass sa building sa marcos highway,BuildingCollapse,High
nasira yung suporta ng terrace wag tatambay,BuildingCollapse,High
naka slant na yung poste ng kuryente sa bahay,BuildingCollapse,High
naghiwalay na yung extension ng bahay sa main house,BuildingCollapse,High
may malaking butas sa pader ng warehouse,BuildingCollapse,High
bumagsak yung plaster ng ceiling sa classroom,BuildingCollapse,High
unsafe na pumasok sa palengke may mga nakalaylay na yero,BuildingCollapse,High
crack sa beam ng covered court malaki,BuildingCollapse,High
tumagilid yung water tank namin baka dumagan,BuildingCollapse,High
may nahuhulog na hollow blocks galing sa construction site,BuildingCollapse,High
halos bumigay na yung pinto hindi mabuksan dahil sa tilt,BuildingCollapse,High
structural damage sa tulay bawal na dumaan sasakyan,BuildingCollapse,High
nawasak yung harapan ng tindahan pero nakatayo pa,BuildingCollapse,High
may nakalaylay na kable at semento sa poste,BuildingCollapse,High
bumagsak yung aircon unit galing 3rd floor,BuildingCollapse,High
delikado yung pader sa likod ng bahay retoke lang kasi,BuildingCollapse,High
warning falling tiles galing sa roof deck,BuildingCollapse,High
nakakatakot yung tunog ng building parang gumuguho,BuildingCollapse,High
may crack na tumatagos sa kabilang kwarto,BuildingCollapse,High
bumigay yung railings ng balcony,BuildingCollapse,High
tagilid na yung signage ng jollibee baka bumagsak,BuildingCollapse,High
sira na yung foundation ng bahay sa tabi ng ilog,BuildingCollapse,High
may nahuhulog na debris sa kalsada,BuildingCollapse,High
crack sa column ng parking lot,BuildingCollapse,High
lumubog yung flooring ng kusina,BuildingCollapse,High
naka-lean na yung puno sa bahay baka bumagsak,BuildingCollapse,High
nasira yung gate dahil sa lupa,BuildingCollapse,High
may malaking biyak sa sahig ng gym,BuildingCollapse,High
bumagsak yung chandelier sa lobby,BuildingCollapse,High
delikado yung hagdanan sa fire exit,BuildingCollapse,High
warning falling debris sa construction area,BuildingCollapse,High
nakatagilid na yung bakod ng subdivision,BuildingCollapse,High
may crack sa ceiling ng sinehan,BuildingCollapse,High
bumigay yung awning ng shop,BuildingCollapse,High
tagilid na yung poste ng ilaw,BuildingCollapse,High
sira na yung bintana dahil sa frame distortion,BuildingCollapse,High
may nahuhulog na bricks sa wall,BuildingCollapse,High
crack sa support beam ng warehouse,BuildingCollapse,High
lumundo yung beam sa garage,BuildingCollapse,High
naka-lean na yung pader sa kalsada,BuildingCollapse,High
nasira yung arch ng barangay,BuildingCollapse,High
may malaking biyak sa driveway,BuildingCollapse,High
bumagsak yung gutter ng bubong,BuildingCollapse,High
delikado yung scaffolding sa site,BuildingCollapse,High
warning falling rocks sa gilid ng bundok,BuildingCollapse,High
nakatagilid na yung shed,BuildingCollapse,High
may crack sa foundation ng bahay,BuildingCollapse,High
bumigay yung trusses ng roof,BuildingCollapse,High
tagilid na yung lamp post,BuildingCollapse,High
sira na yung door frame di masara,BuildingCollapse,High
may nahuhulog na plywood,BuildingCollapse,High
crack sa main pillar ng bldg,BuildingCollapse,High
lumundo yung sahig sa 2nd floor,BuildingCollapse,High
naka-lean na yung fence,BuildingCollapse,High
nasira yung window grilles,BuildingCollapse,High
may malaking biyak sa pader,BuildingCollapse,High
bumagsak yung decorative molding,BuildingCollapse,High
delikado yung canopy ng entrance,BuildingCollapse,High
warning falling glass shards,BuildingCollapse,High
nakatagilid na yung basketball ring,BuildingCollapse,High
may crack sa tiles ng CR,BuildingCollapse,High
bumigay yung handrail,BuildingCollapse,High
tagilid na yung waiting shed column,BuildingCollapse,High
sira na yung glass door,BuildingCollapse,High
may nahuhulog na semento,BuildingCollapse,High
crack sa firewall,BuildingCollapse,High
lumundo yung ceiling fan,BuildingCollapse,High
naka-lean na yung cabinet,BuildingCollapse,High
nasira yung divider,BuildingCollapse,High
may malaking biyak sa tiles,BuildingCollapse,High
bumagsak yung shelf,BuildingCollapse,High
delikado yung overhang,BuildingCollapse,High
warning falling branches,BuildingCollapse,High
nakatagilid na yung statue,BuildingCollapse,High
may crack sa corner post,BuildingCollapse,High
bumigay yung lintel beam,BuildingCollapse,High
tagilid na yung gate,BuildingCollapse,High
sira na yung sliding door,BuildingCollapse,High
may nahuhulog na yero,BuildingCollapse,High
crack sa retaining wall,BuildingCollapse,High
lumundo yung plywood ceiling,BuildingCollapse,High
naka-lean na yung bookshelf,BuildingCollapse,High
nasira yung wall cladding,BuildingCollapse,High
may malaking biyak sa hollow blocks,BuildingCollapse,High
May mga crack sa pader ng bahay namin safe pa kaya to?,BuildingCollapse,Medium
nabasag mga bintana sa 2nd floor dahil sa lindol,BuildingCollapse,Medium
lumundo yung kisame namin pero hindi naman bumagsak,BuildingCollapse,Medium
may bitak sa sahig sa kusina,BuildingCollapse,Medium
natanggal yung mga tiles sa banyo,BuildingCollapse,Medium
nakakatakot tignan yung pader may hairline cracks,BuildingCollapse,Medium
nasira yung pinto hindi na mailock,BuildingCollapse,Medium
may nalaglag na picture frames at vase,BuildingCollapse,Medium
nag-crack yung semento sa garahe,BuildingCollapse,Medium
nabasag yung salamin ng sliding door,BuildingCollapse,Medium
lumuwag yung mga turnilyo ng bubong,BuildingCollapse,Medium
may bitak sa poste ng gate,BuildingCollapse,Medium
natanggal yung gutter sa likod,BuildingCollapse,Medium
nakakatakot pumasok sa kwarto may crack sa taas,BuildingCollapse,Medium
nasira yung lock ng bintana,BuildingCollapse,Medium
may nalaglag na gamit galing sa shelf,BuildingCollapse,Medium
nag-crack yung paint sa wall,BuildingCollapse,Medium
nabasag yung glass display sa cabinet,BuildingCollapse,Medium
lumundo yung screen ng bintana,BuildingCollapse,Medium
may bitak sa step ng hagdan,BuildingCollapse,Medium
natanggal yung door knob,BuildingCollapse,Medium
nakakatakot yung tunog ng yero,BuildingCollapse,Medium
nasira yung hinge ng cabinet,BuildingCollapse,Medium
may nalaglag na libro,BuildingCollapse,Medium
nag-crack yung plaster sa ceiling,BuildingCollapse,Medium
nabasag yung aquarium,BuildingCollapse,Medium
lumuwag yung handrail,BuildingCollapse,Medium
may bitak sa driveway,BuildingCollapse,Medium
natanggal yung skirting board,BuildingCollapse,Medium
nakakatakot yung chandelier baka mahulog,BuildingCollapse,Medium
nasira yung tiles sa balcony,BuildingCollapse,Medium
may nalaglag na paso,BuildingCollapse,Medium
nag-crack yung hollow blocks sa bakod,BuildingCollapse,Medium
nabasag yung mirror sa CR,BuildingCollapse,Medium
lumundo yung plywood sa kwarto,BuildingCollapse,Medium
may bitak sa sidewalk sa tapat,BuildingCollapse,Medium
natanggal yung wallpaper,BuildingCollapse,Medium
nakakatakot yung aircon baka malaglag,BuildingCollapse,Medium
nasira yung gate latch,BuildingCollapse,Medium
may nalaglag na clock,BuildingCollapse,Medium
nag-crack yung concrete sink,BuildingCollapse,Medium
nabasag yung glass table,BuildingCollapse,Medium
lumuwag yung window frame,BuildingCollapse,Medium
may bitak sa firewall,BuildingCollapse,Medium
natanggal yung molding,BuildingCollapse,Medium
nakakatakot yung cabinet nakabukas,BuildingCollapse,Medium
nasira yung screen door,BuildingCollapse,Medium
may nalaglag na decor,BuildingCollapse,Medium
nag-crack yung tiles sa kitchen,BuildingCollapse,Medium
nabasag yung flower pot,BuildingCollapse,Medium
lumundo yung shelf,BuildingCollapse,Medium
may bitak sa terrace,BuildingCollapse,Medium
natanggal yung paint chips,BuildingCollapse,Medium
nakakatakot yung pader may lumot na crack,BuildingCollapse,Medium
nasira yung curtain rod,BuildingCollapse,Medium
may nalaglag na figurines,BuildingCollapse,Medium
nag-crack yung cement floor,BuildingCollapse,Medium
nabasag yung lamp shade,BuildingCollapse,Medium
lumuwag yung floorboards,BuildingCollapse,Medium
may bitak sa column pero maliit,BuildingCollapse,Medium
natanggal yung light fixture cover,BuildingCollapse,Medium
nakakatakot yung crack sa beam,BuildingCollapse,Medium
nasira yung drawer,BuildingCollapse,Medium
may nalaglag na utensils,BuildingCollapse,Medium
nag-crack yung window sill,BuildingCollapse,Medium
nabasag yung cups,BuildingCollapse,Medium
lumundo yung clothesline,BuildingCollapse,Medium
may bitak sa patio,BuildingCollapse,Medium
natanggal yung tile grout,BuildingCollapse,Medium
nakakatakot yung crack sa corner,BuildingCollapse,Medium
nasira yung cabinet door,BuildingCollapse,Medium
may nalaglag na toys,BuildingCollapse,Medium
nag-crack yung stucco,BuildingCollapse,Medium
nabasag yung plates,BuildingCollapse,Medium
lumuwag yung grip sa hagdan,BuildingCollapse,Medium
may bitak sa garden wall,BuildingCollapse,Medium
natanggal yung varnish,BuildingCollapse,Medium
nakakatakot yung crack sa arch,BuildingCollapse,Medium
nasira yung blinds,BuildingCollapse,Medium
may nalaglag na groceries,BuildingCollapse,Medium
nag-crack yung marble floor,BuildingCollapse,Medium
nabasag yung jars,BuildingCollapse,Medium
lumundo yung mattress,BuildingCollapse,Medium
may bitak sa laundry area,BuildingCollapse,Medium
natanggal yung hook,BuildingCollapse,Medium
nakakatakot yung crack sa facade,BuildingCollapse,Medium
nasira yung vent,BuildingCollapse,Medium
may nalaglag na boxes,BuildingCollapse,Medium
nag-crack yung stone cladding,BuildingCollapse,Medium
nabasag yung bottles,BuildingCollapse,Medium
lumuwag yung faucet,BuildingCollapse,Medium
may bitak sa dirty kitchen,BuildingCollapse,Medium
natanggal yung soap holder,BuildingCollapse,Medium
nakakatakot yung crack sa poste,BuildingCollapse,Medium
nasira yung towel rack,BuildingCollapse,Medium
may nalaglag na shampoo,BuildingCollapse,Medium
nag-crack yung granite top,BuildingCollapse,Medium
nabasag yung glasses,BuildingCollapse,Medium
May maliit na crack sa pintura lang naman,BuildingCollapse,Low
natanggal lang yung plaster sa pader okay naman structure,BuildingCollapse,Low
bumagsak yung picture frame pero wala namang nasaktan,BuildingCollapse,Low
hairline cracks lang sa pader di naman malalim,BuildingCollapse,Low
may konting bitak sa tiles sa cr,BuildingCollapse,Low
natuklap yung pintura sa kisame,BuildingCollapse,Low
nahulog yung vase sa mesa,BuildingCollapse,Low
may crack sa cemento sa labas decorative lang,BuildingCollapse,Low
bumukas lang yung cabinet doors,BuildingCollapse,Low
konting alikabok galing sa kisame,BuildingCollapse,Low
natanggal yung screw ng door knob,BuildingCollapse,Low
may gasgas sa pader dahil sa nayanig na furniture,BuildingCollapse,Low
nahulog yung remote ng tv,BuildingCollapse,Low
may crack sa paso sa garden,BuildingCollapse,Low
bumagsak yung walis tingting,BuildingCollapse,Low
konting bitak sa grout ng tiles,BuildingCollapse,Low
natuklap yung wallpaper sa kanto,BuildingCollapse,Low
nahulog yung shampoo sa banyo,BuildingCollapse,Low
may crack sa plastic na timba,BuildingCollapse,Low
bumagsak yung unan sa sofa,BuildingCollapse,Low
hairline crack sa paint ng pinto,BuildingCollapse,Low
natanggal yung hook ng calendar,BuildingCollapse,Low
nahulog yung susi,BuildingCollapse,Low
may konting sira sa screen,BuildingCollapse,Low
bumagsak yung tsinelas,BuildingCollapse,Low
bitak sa lumang paso,BuildingCollapse,Low
natuklap yung sticker sa wall,BuildingCollapse,Low
nahulog yung ballpen,BuildingCollapse,Low
may crack sa plastic chair,BuildingCollapse,Low
bumagsak yung magazine,BuildingCollapse,Low
hairline crack sa floor wax,BuildingCollapse,Low
natanggal yung cover ng switch,BuildingCollapse,Low
nahulog yung towel,BuildingCollapse,Low
may konting sira sa rug,BuildingCollapse,Low
bumagsak yung coaster,BuildingCollapse,Low
bitak sa lumang tiles,BuildingCollapse,Low
natuklap yung varnish,BuildingCollapse,Low
nahulog yung sabon,BuildingCollapse,Low
may crack sa plastic container,BuildingCollapse,Low
bumagsak yung stuffed toy,BuildingCollapse,Low
hairline crack sa varnish ng mesa,BuildingCollapse,Low
natanggal yung knob ng drawer,BuildingCollapse,Low
nahulog yung suklay,BuildingCollapse,Low
may konting sira sa kurtina,BuildingCollapse,Low
bumagsak yung remote,BuildingCollapse,Low
bitak sa lumang semento sa garden,BuildingCollapse,Low
natuklap yung paint sa gate,BuildingCollapse,Low
nahulog yung toothbrush,BuildingCollapse,Low
may crack sa plastic cup,BuildingCollapse,Low
bumagsak yung notebook,BuildingCollapse,Low
hairline crack sa tiles sa labas,BuildingCollapse,Low
natanggal yung magnet sa ref,BuildingCollapse,Low
nahulog yung sponge,BuildingCollapse,Low
may konting sira sa doormat,BuildingCollapse,Low
bumagsak yung placemat,BuildingCollapse,Low
bitak sa lumang hollow block sa bakod,BuildingCollapse,Low
natuklap yung paint sa window frame,BuildingCollapse,Low
nahulog yung toothpaste,BuildingCollapse,Low
may crack sa plastic hanger,BuildingCollapse,Low
bumagsak yung papel,BuildingCollapse,Low
hairline crack sa ceiling paint,BuildingCollapse,Low
natanggal yung thumb tacks,BuildingCollapse,Low
nahulog yung hair clip,BuildingCollapse,Low
may konting sira sa table cloth,BuildingCollapse,Low
bumagsak yung napkin,BuildingCollapse,Low
bitak sa lumang paso sa labas,BuildingCollapse,Low
natuklap yung paint sa cabinet,BuildingCollapse,Low
nahulog yung cotton buds,BuildingCollapse,Low
may crack sa plastic dipper,BuildingCollapse,Low
bumagsak yung tissue,BuildingCollapse,Low
hairline crack sa wall paint,BuildingCollapse,Low
natanggal yung sticky note,BuildingCollapse,Low
nahulog yung hair tie,BuildingCollapse,Low
may konting sira sa seat cover,BuildingCollapse,Low
bumagsak yung slipper,BuildingCollapse,Low
bitak sa lumang stone decor,BuildingCollapse,Low
natuklap yung paint sa door,BuildingCollapse,Low
nahulog yung powder,BuildingCollapse,Low
may crack sa plastic basin,BuildingCollapse,Low
bumagsak yung wipes,BuildingCollapse,Low
hairline crack sa handrail paint,BuildingCollapse,Low
natanggal yung tape,BuildingCollapse,Low
nahulog yung coins,BuildingCollapse,Low
may konting sira sa pillow case,BuildingCollapse,Low
bumagsak yung charger,BuildingCollapse,Low
bitak sa lumang brick,BuildingCollapse,Low
natuklap yung paint sa shelf,BuildingCollapse,Low
nahulog yung alcohol,BuildingCollapse,Low
may crack sa plastic tray,BuildingCollapse,Low
bumagsak yung mask,BuildingCollapse,Low
hairline crack sa frame,BuildingCollapse,Low
natanggal yung glue,BuildingCollapse,Low
nahulog yung sanitizer,BuildingCollapse,Low
may konting sira sa bed sheet,BuildingCollapse,Low
bumagsak yung earphone,BuildingCollapse,Low
bitak sa lumang pot,BuildingCollapse,Low
natuklap yung paint sa chair,BuildingCollapse,Low
nahulog yung lotion,BuildingCollapse,Low
bagsak ako sa math exam kainis,BuildingCollapse,Low
bagsak presyo sa palengke ngayon,BuildingCollapse,Low
bagsak na katawan ko sa pagod,BuildingCollapse,Low
bagsak presyo ang bentahan ng gulay,BuildingCollapse,Low
nakakabagsak ng balikat ang traffic,BuildingCollapse,Low
bagsak ang signal ng globe dito,BuildingCollapse,Low
sobrang trapik sa marcos highway,BuildingCollapse,Low
na-traffic kami sa bayan sorry late,BuildingCollapse,Low
may mouse trap kami sa kusina,BuildingCollapse,Low
traffic update sa tulay,BuildingCollapse,Low
trapik na naman sa umaga,BuildingCollapse,Low
sira ulo ka talaga haha,BuildingCollapse,Low
sira na yung cellphone ko,BuildingCollapse,Low
panis na pagkain sira na tyan ko,BuildingCollapse,Low
sira ang mood ko ngayon,BuildingCollapse,Low
sira yung zipper ng bag ko,BuildingCollapse,Low
gumuho ang mundo ko nung nag break kami,BuildingCollapse,Low
nag crack yung jokes nya waley,BuildingCollapse,Low
crack sa screen protector lang ito,BuildingCollapse,Low
wasak na puso ko,BuildingCollapse,Low
wasak na wallet ko kaka-shopee,BuildingCollapse,Low
TULONG WALANG MALAY ANG NANAY KO NABAGSAKAN NG CABINET,Medical,Critical
severe bleeding sa hita may tumarak na bakal,Medical,Critical
hindi humihinga yung bata kailangan ng oxygen agad,Medical,Critical
CARDIAC ARREST ATA HINDI NAGRERESPOND SI TATAY,Medical,Critical
nabagok ulo sa semento may lumalabas na dugo sa tenga,Medical,Critical
saklolo naipit yung dibdib nya sa gumuhong pader di makahinga,Medical,Critical
PUTOL ANG PAA NG KAPITBAHAY NAMIN SA CONCEPCION TULONG,Medical,Critical
stroke victim hindi makagalaw kailangan madala sa amang rodriguez,Medical,Critical
grabe dugo sa leeg natamaan ng bubog,Medical,Critical
UNCONSCIOUS PATIENT SA TUMANA EVACUATION CENTER,Medical,Critical
tulong nangingisay yung kapatid ko parang seizure,Medical,Critical
na-impale ng ruji sa tiyan kailangan ng rescue,Medical,Critical
HEART ATTACK SA MAY RIVERBANKS MALL MAY CPR NA GINAGAWA,Medical,Critical
duguan buong muka hindi magising,Medical,Critical
hlep my husband is not breathing,Medical,Critical
CRUSH INJURY SA LEGS NAMUMUTLA NA YUNG PASYENTE,Medical,Critical
tulong po sumusuka ng dugo yung lolo ko,Medical,Critical
head injury malala bumagsak yung kisame sa kanya,Medical,Critical
WALANG PULSO KANINA PA KAMI TUMATAWAG NG TULONG,Medical,Critical
bluish na yung kulay ng baby hindi maka-iyak,Medical,Critical
severe trauma sa likod hindi maramdaman ang paa,Medical,Critical
OPEN FRACTURE SA HITA LUMABAS YUNG BUTO GRABE DUGO,Medical,Critical
tulong nakuryente yung kasama namin nangingisay pa,Medical,Critical
diabetis patient comatose na ata,Medical,Critical
INATAKE SA PUSO SA MAY PARANG FIELD,Medical,Critical
nabagsakan ng poste sa ulo critical condition,Medical,Critical
hinihika pero parang nag-aagaw buhay na nangingitim na,Medical,Critical
TULONG PO MAY NATUSOK NG BAKAL SA DIBDIB,Medical,Critical
shock na ata pasyente malamig na pawis at tulala,Medical,Critical
massive loss of blood kailangan ng tourniquet agad,Medical,Critical
NAHULOG MULA 2ND FLOOR UNA ULO WALANG MALAY,Medical,Critical
severe burns sa katawan galing sa sumabog na tangke,Medical,Critical
tulong po hindi na gumagalaw yung buntis na naipit,Medical,Critical
INTERNAL BLEEDING ATA SOBRANG SAKIT NG TIYAN AT NAMUMUTLA,Medical,Critical
natabunan ng debris sa nangka unconscious nung nakuha,Medical,Critical
lumuwa yung bituka kailangan ng doctor agad,Medical,Critical
TULONG NAWOLAN NG MALAY LOLA KO SA SSS VILLAGE,Medical,Critical
severe allergic reaction hindi makahinga namamaga muka,Medical,Critical
drowning victim galing sa marikina river walang malay,Medical,Critical
CRITICAL HEAD INJURY SA MAY BARANGKA SCHOOL,Medical,Critical
naputulan ng daliri grabe dugo di tumitigil,Medical,Critical
tulong po na-trap sa kotse duguan walang malay,Medical,Critical
electric shock victim unconscious sa may meralco post,Medical,Critical
AGAW BUHAY NA YUNG PASYENTE SA LAMUAN,Medical,Critical
may tinarak na kutsilyo sa away kailangan pulis at medic,Medical,Critical
severe dehydration sa evacuation center matanda na,Medical,Critical
TULONG PO NA-STROKE SA GITNA NG LINDOL,Medical,Critical
collapsed lung ata hirap na hirap huminga,Medical,Critical
spinal injury hindi magalaw leeg at katawan,Medical,Critical
WALANG MALAY SA KALSADA MAY SUGAT SA ULO,Medical,Critical
multiple fractures sa katawan nabagsakan ng pader,Medical,Critical
severe concussion nagsusuka at hilo,Medical,Critical
TULONG PO BUMUBULA BIBIG NG KAPATID KO,Medical,Critical
cyanosis nangingitim na labi oxygen pls,Medical,Critical
traumatic amputation ng kamay sa factory,Medical,Critical
HEAVY BLEEDING SA ULO DI MAPIGILAN NG T-SHIRT,Medical,Critical
cardiac emergency sa may sports center,Medical,Critical
unresponsive infant need ambulance,Medical,Critical
TULONG PO CRITICAL CONDITION SA MALANDAY,Medical,Critical
severe chest pain parang inaatake sa puso,Medical,Critical
nabagsakan ng hollow blocks sa mukha,Medical,Critical
TULONG NAG-COLLAPSE SA GILID NG KALYE,Medical,Critical
severe asthma attack hindi na makahinga,Medical,Critical
duguan at walang malay sa may provident,Medical,Critical
CRUSHED PELVIS NAIPIT NG BUMAGSAK NA HALIGI,Medical,Critical
tulong po overdose sa gamot dahil sa panic,Medical,Critical
severe laceration sa leeg,Medical,Critical
WALANG MALAY NA MATANDA SA MAY SIMBAHAN,Medical,Critical
head trauma galing sa nahulog na debris,Medical,Critical
heart failure patient kailangan ng gamot at oxygen,Medical,Critical
TULONG PO NANGINGISAY SA SAHIG,Medical,Critical
severe burn 3rd degree sa braso at mukha,Medical,Critical
unconscious sa may palengke,Medical,Critical
CRITICAL SA MAY MARIKINA HEIGHTS,Medical,Critical
severe hemorrhage sa tiyan,Medical,Critical
tulong po hindi magising ang bata,Medical,Critical
NABAGSAKAN NG PUNO SA LIKOD PARALYZED,Medical,Critical
severe fracture sa ribs tumusok sa lungs,Medical,Critical
unresponsive sa may tulay,Medical,Critical
TULONG PO CARDIO RESPIRATORY ARREST,Medical,Critical
massive head wound,Medical,Critical
walang malay sa may plaza,Medical,Critical
CRITICAL CONDITION SA FACTORY,Medical,Critical
severe blood loss,Medical,Critical
tulong po comatose,Medical,Critical
NABAGSAKAN NG YERO SA LEEG,Medical,Critical
severe shock,Medical,Critical
unconscious sa gym,Medical,Critical
TULONG PO AGAD AGAD,Medical,Critical
severe injury sa spine,Medical,Critical
walang malay sa school,Medical,Critical
CRITICAL SA OLA,Medical,Critical
severe abdominal pain internal bleeding,Medical,Critical
tulong po hindi humihinga,Medical,Critical
NABAGSAKAN NG BATO SA ULO,Medical,Critical
severe trauma,Medical,Critical
unresponsive patient,Medical,Critical
TULONG PO MAMAMATAY NA,Medical,Critical
severe wound,Medical,Critical
walang malay,Medical,Critical
Kailangan ng medikal na tulong agad may duguan,Medical,Critical
Kailangan ng doktor dito may nag-collapse,Medical,Critical
Kailangan ng medic sa area emergency,Medical,Critical
Kailangan madala sa ospital ang pasyente,Medical,Critical
Kailangan ng first aid mabilis,Medical,Critical
Kailangan ng tulong medikal hindi makahinga,Medical,Critical
Kailangan ng rescuer may bali sa buto,Medical,Critical
Kailangan ng nurse dito may nanganak,Medical,Critical
Kailangan po ng tulong may inatake sa puso,Medical,Critical
Kailangan ng ambulansya may na-stroke,Medical,Critical
May duguan po dito kailangan ng tulong,Medical,Critical
Duguan ang biktima kailangan ng rescue,Medical,Critical
Bali ang braso ng anak ko namamagang sobra,Medical,High
manganganak na ang misis ko pumutok na panubigan,Medical,High
malalim na sugat sa paa kailangan tahiin agad,Medical,High
DISLOCATED SHOULDER HINDI MAGALAW YUNG KAMAY,Medical,High
nasunog ang likod at braso kailangan ng burn ointment,Medical,High
may bali sa binti hindi makalakad buhatin nyo kami,Medical,High
TULONG MANGANGANAK NA SA EVACUATION CENTER,Medical,High
grabe hiwa sa kamay natamaan ng salamin,Medical,High
broken ribs ata sobrang sakit pag humihinga,Medical,High
FRACTURED ANKLE SA MAY MARIKINA BRIDGE,Medical,High
malalim na hiwa sa noo kailangan ng stitches,Medical,High
may bakal na tumusok sa binti pero di naman dumudugo ng malakas,Medical,High
LABOR PAINS EVERY 5 MINUTES BUNTIS,Medical,High
paso sa muka galing sa mainit na tubig,Medical,High
bali ang collarbone masakit igalaw,Medical,High
TULONG PO NAPILIY NANG MALALA HINDI MAKATAYO,Medical,High
deep laceration sa braso kita na laman,Medical,High
may bali sa daliri naipit sa pinto,Medical,High
PREMATURE LABOR ATA 7 MONTHS PREGNANT,Medical,High
nasugatan ng rusty nail kailangan anti tetanus,Medical,High
fractured wrist namamaga at nangingitim,Medical,High
TULONG MAY MALALIM NA SUGAT SA TUHOD,Medical,High
concussion nahihilo at nagsusuka pero gising,Medical,High
dislocated jaw hindi maisara bibig,Medical,High
OPEN WOUND SA LIKOD KAILANGAN LINISIN,Medical,High
buntis na dinudugo ng konti need checkup,Medical,High
broken nose dumudugo ilong,Medical,High
TULONG PO MAY BALI SA HITA,Medical,High
burns sa kamay may blisters na,Medical,High
natapilok tapos namaga agad baka bali,Medical,High
MANGANGANAK NA SA LOOB NG TRICYCLE,Medical,High
hiwa sa talampakan malalim nakatapak ng bubog,Medical,High
fractured elbow hindi maituwid,Medical,High
TULONG PO MAY NAPASO NG MANTIKA,Medical,High
dislocated knee masakit sobra,Medical,High
deep cut sa palm kailangan tahi,Medical,High
BUNTIS NA MAY CRAMPS AT SPOTTTING,Medical,High
nasunog yung buhok at anit,Medical,High
bali ang forearm nakabale-wala,Medical,High
TULONG PO MAY SUGAT SA DIBDIB,Medical,High
severe sprain hindi mailakad,Medical,High
laceration sa tenga dumudugo,Medical,High
MANGANGANAK NA PO SA BAHAY WALANG KASAMA,Medical,High
burn sa hita 2nd degree,Medical,High
broken toe naipit ng bato,Medical,High
TULONG PO MAY BALI SA BALIKAT,Medical,High
deep puncture wound sa kamay,Medical,High
dislocated hip masakit,Medical,High
BUNTIS NA SUMASAKIT ANG PUSON,Medical,High
nasugatan ng yero sa likod,Medical,High
fractured finger namamaga,Medical,High
TULONG PO MAY SUGAT SA LEEG,Medical,High
severe contusion sa hita,Medical,High
laceration sa cheek malaki,Medical,High
MANGANGANAK NA SA KALYE,Medical,High
burn sa paa chemical,Medical,High
broken leg bone,Medical,High
TULONG PO MAY BALI SA BRASO,Medical,High
deep cut sa leg,Medical,High
dislocated finger,Medical,High
BUNTIS EMERGENCY,Medical,High
nasugatan ng kutsilyo sa braso,Medical,High
fractured rib,Medical,High
TULONG PO MAY SUGAT SA ULO,Medical,High
severe bruising sa tiyan,Medical,High
laceration sa chin,Medical,High
LABOR NA PO,Medical,High
burn sa leeg,Medical,High
broken arm bone,Medical,High
